name,ticker,isin,city,revenue turnover,num employees,return on total assets,type of share,market price
AMERICAN INTERNATIONAL GROUP INC.,AIG,US0268747849,NEW YORK,,,,Ordinary Shares,64.12
THERMO FISHER SCIENTIFIC INC.,TMO,US8835561023,WALTHAM,5920000,,1.47,Ordinary Shares,472.47
ABBOTT LABORATORIES,ABT,US0028241000,ABBOTT PARK,7656000,,1,Ordinary Shares,100.26
COCA-COLA COMPANY (THE),KO,US1912161007,ATLANTA,8775000,,2.73,Ordinary Shares,57.15
NUCOR CORP,NUE,US6703461052,CHARLOTTE,12029193,,8.19,Ordinary Shares,154.94
PRUDENTIAL FINANCIAL INC,PRU,US7443201022,NEWARK,,,,Ordinary Shares,94.63
GENERAL DYNAMICS CORP,GD,US3695501086,FALLS CHURCH,9094000,,2.18,Ordinary Shares,245.26
TRAVELERS COMPANIES INC.,TRV,US89417E1091,SAINT PAUL,,,,Ordinary Shares,171.69
DOLLAR GENERAL CORP,DG,US2566771059,GOODLETTSVILE,6443309,,4.01,Ordinary Shares,117.81
OCCIDENTAL PETROLEUM CORPORATION,OXY,US6745991058,HOUSTON,4175000,,2.43,Ordinary Shares,60.31
NORTHROP GRUMMAN CORPORATION,NOC,US6668071029,FALLS CHURCH,8085000,,3.59,Ordinary Shares,463.88
CAPITAL ONE FINANCIAL CORPORATION,COF,US14040H1059,MCLEAN,7169652,51193,0.68,Ordinary Shares,105.01
3M COMPANY,MMM,US88579Y1010,SAINT PAUL,8152000,,5.27,Ordinary Shares,95.71
LENNAR CORP,LEN,US5260571048,MIAMI,5672569,,2,Ordinary Shares   Class A,127.08
"D.R. HORTON, INC.",DHI,US23331A1097,ARLINGTON,4435300,,4.53,Ordinary Shares,127.63
LINDE PUBLIC LIMITED COMPANY,LIN,IE000S9YS762,DUBLIN,,,,Ordinary Shares,408.39
VISA INC,V,US92826C8394,SAN FRANCISCO,4461000,,4.7,Ordinary Shares   Class A,248.57
PHILIP MORRIS INTERNATIONAL INC.,PM,US7181721090,NEW YORK,7504000,,7.63,Ordinary Shares,91.28
"NRG ENERGY, INC.",NRG,US6293775085,PRINCETON,3061000,,2.73,Ordinary Shares,47.57
DANAHER CORP,DHR,US2358511028,WASHINGTON,4853100,,1.68,Ordinary Shares,209.11
MEDTRONIC PUBLIC LIMITED COMPANY,MDT,IE00BTN1Y115,DUBLIN,14511000,,2.24,Ordinary Shares,74.88
SALESFORCE INC,CRM,US79466L3024,SAN FRANCISCO,3281000,,0.89,Ordinary Shares,221.45
"CBRE GROUP, INC.",CBRE,US12504L1098,LOS ANGELES,5260954,,2.98,Ordinary Shares   Class A,78.05
CARMAX INC,KMX,US1431301027,RICHMOND,4766035,,1.59,Ordinary Shares,64.15
SOUTHERN CO,SO,US8425871071,ATLANTA,6159000,,1.65,Ordinary Shares,70.27
DUKE ENERGY CORPORATION,DUK,US26441C2044,CHARLOTTE,6628000,,0.86,Ordinary Shares,90.18
ELI LILLY AND COMPANY,LLY,US5324571083,INDIANAPOLIS,5306900,,3.01,Ordinary Shares,588.75
HEWLETT PACKARD ENTERPRISE COMPANY,HPE,US42824C1099,SAN JOSE,7764000,,0.81,Ordinary Shares,15.74
SCHLUMBERGER N.V.,SLB,AN8068571086,WILLEMSTAD,6894000,,0.44,Ordinary Shares,52.11
CUMMINS INC.,CMI,US2310211063,COLUMBUS,5943000,,4.24,Ordinary Shares,223.42
EOG RESOURCES INC,EOG,US26875P1012,HOUSTON,4665680,,4.3,Ordinary Shares,120.7
JOHNSON CONTROLS INTERNATIONAL PLC,JCI,IE00BY7QL619,CORK,7141000,,0.79,Registered Shares,51.92
"ALTRIA GROUP, INC.",MO,US02209S1033,RICHMOND,6837000,,5.93,Ordinary Shares,40.7
UNION PACIFIC CORP,UNP,US9078181081,OMAHA,5928000,42323,3.5,Ordinary Shares,219.36
PIONEER NATURAL RESOURCES CO,PXD,US7237871071,IRVING,2458000,,2.93,Ordinary Shares,232.35
US BANCORP,USB,US9029733048,MINNEAPOLIS,5618000,73612,0.48,Ordinary Shares,37.32
SOUTHWEST AIRLINES CO.,LUV,US8447411088,DALLAS,5575000,58559,2.92,Ordinary Shares,24.29
MCDONALD'S CORPORATION,MCD,US5801351017,CHICAGO,5369400,,6.34,Ordinary Shares,276.12
TRUIST FINANCIAL CORPORATION,TFC,US89832Q1094,CHARLOTTE,2876000,35782,0.46,Ordinary Shares,31.45
FREEPORT-MCMORAN INC.,FCX,US35671D8570,PHOENIX,5168000,,4.19,Ordinary Shares,35.54
ONEOK INC,OKE,US6826801036,TULSA,3393890,,2.33,Ordinary Shares,65.52
SHERWIN WILLIAMS COMPANY (THE),SHW,US8243481061,CLEVELAND,4731470,,2.08,Ordinary Shares,269.3
GENUINE PARTS CO,GPC,US3724601055,ATLANTA,4722922,,2.3,Ordinary Shares,137.47
MASTERCARD,MA,US57636Q1040,NEW YORK,2710000,,7.96,Ordinary Shares   Class A,397.1
WESTROCK COMPANY,WRK,US96145D1054,ATLANTA,4137500,,1.42,Ordinary Shares,37.59
INTERNATIONAL PAPER CO,IP,US4601461035,MEMPHIS,5901000,,1.64,Ordinary Shares,33.62
"NEXTERA ENERGY, INC.",NEE,US65339F1012,JUNO BEACH,4416000,,1.08,Ordinary Shares,56.6
"CHARLES SCHWAB CORPORATION, THE",SCHW,US8085131055,WESTLAKE,2395000,18175,0.4,Ordinary Shares,55.67
EATON CORPORATION PLC,ETN,IE00B8KQN827,DUBLIN,4848000,,1.52,Ordinary Shares,226.8
MARSH & MCLENNAN COMPANIES INC,MMC,US5717481023,NEW YORK,3504000,65000,1.82,Ordinary Shares,198.32
CARRIER GLOBAL CORP,CARR,US14448C1045,PALM BEACH GARDENS,,,,Ordinary Shares,52.68
HALLIBURTON CO,HAL,US4062161017,HOUSTON,6172000,55000,2.07,Ordinary Shares,37.18
KIMBERLY CLARK CORP,KMB,US4943681035,DALLAS,4582000,,3.96,Ordinary Shares,121.71
GENERAL MILLS INC,GIS,US3703341046,MINNEAPOLIS,4094000,,1.6,Ordinary Shares,65.02
WHIRLPOOL CORP,WHR,US9633201069,BENTON HARBOR,5326000,,1.17,Ordinary Shares,112.28
WASTE MANAGEMENT INC,WM,US94106L1098,HOUSTON,3822000,,2.64,Ordinary Shares,171.44
EMERSON ELECTRIC CO,EMR,US2910111044,SAINT LOUIS,4456000,,3.75,Ordinary Shares,87.5
DTE ENERGY CO,DTE,US2333311072,DETROIT,3550000,,1.05,Ordinary Shares,103.33
PNC FINANCIAL SERVICES GROUP INC,PNC,US6934751057,PITTSBURGH,4113114,52795,0.39,Ordinary Shares,129.34
"KINDER MORGAN, INC.",KMI,US49456B1017,HOUSTON,3517000,,1.52,Ordinary Shares   Class P,16.82
DEVON ENERGY CORP,DVN,US25179M1036,OKLAHOMA CITY,1922000,,-1.66,Ordinary Shares,44.29
MOSAIC COMPANY (THE),MOS,US61945C1036,TAMPA,2205000,,0.34,Ordinary Shares,36.78
PARKER HANNIFIN CORP,PH,US7010941042,CLEVELAND,3479294,,2.98,Ordinary Shares,426.44
"BECTON, DICKINSON AND COMPANY",BDX,US0758871091,FRANKLIN LAKES,4278000,,1.2,Ordinary Shares,235.07
STRYKER CORPORATION,SYK,US8636671013,KALAMAZOO,3242000,,2.42,Ordinary Shares,291.55
COLGATE PALMOLIVE CO,CL,US1941621039,NEW YORK,3845000,,6.52,Ordinary Shares,75.98
"BLACKROCK, INC",BLK,US09247X1019,NEW YORK,2817000,13000,0.49,Ordinary Shares,714.9
FISERV INC,FISV,US3377381088,BROOKFIELD,1412000,,2.83,Ordinary Shares,124.83
PPG INDUSTRIES INC,PPG,US6935061076,PITTSBURGH,3817000,,2.7,Ordinary Shares,135.16
APTIV PLC,APTV,JE00B783TY65,ST HELIER,4296000,,3.22,Ordinary Shares,79.15
"LUMEN TECHNOLOGIES, INC.",LUMN,US5502411037,MONROE,5818000,46000,0.45,Ordinary Shares,1.38
AUTOZONE INC,AZO,US0533321024,MEMPHIS,3558768,,5.74,Ordinary Shares,"2,658.23"
"CORTEVA, INC",CTVA,US22052L1044,WILMINGTON,5731000,,0.27,Ordinary Shares,46.97
EDISON INTERNATIONAL,EIX,US2810201077,ROSEMEAD,4269000,,1.17,Ordinary Shares,65.99
"DOMINION ENERGY, INC.",D,US25746U1097,RICHMOND,3451000,,1.45,Ordinary Shares,46.87
QUANTA SERVICES INC,PWR,US74762E1029,HOUSTON,2985281,,2.34,Ordinary Shares,183.3
"L3HARRIS TECHNOLOGIES, INC.",LHX,US5024311095,MELBOURNE,1542000,,2.6,Ordinary Shares,186.26
"STANLEY BLACK & DECKER, INC.",SWK,US8545021011,NEW BRITAIN,3494800,,1.49,Ordinary Shares,90.1
"LIVE NATION ENTERTAINMENT, INC.",LYV,US5380341090,BEVERLY HILLS,3835246,,2.35,Ordinary Shares,89.1
THE BANK OF NEW YORK MELLON CORPORATION,BK,US0640581007,NEW YORK,4129000,52000,0.39,Ordinary Shares,46.48
TE CONNECTIVITY LIMITED,TEL,CH0102993182,SCHAFFHAUSEN,3063000,,2.61,Registered Shares,131.34
"PULTEGROUP, INC.",PHM,US7458671010,ATLANTA,2649366,,3.83,Ordinary Shares,86.97
TRANE TECHNOLOGIES PLC,TT,IE00BK9ZQ967,SWORDS,3000600,,0.91,Ordinary Shares   Class A,226.54
ESTEE LAUDER COMPANIES INC. (THE),EL,US5184391044,NEW YORK,3524000,,5.05,Ordinary Shares   Class A,122.62
ILLINOIS TOOL WORKS INC,ITW,US4523081093,GLENVIEW,3613000,,5.45,Ordinary Shares,239.02
BORGWARNER INC,BWA,US0997241064,AUBURN HILLS,2478500,,2.91,Ordinary Shares,33.82
"CONSOLIDATED EDISON, INC.",ED,US2091151041,NEW YORK,2696000,,0.46,Ordinary Shares,91.13
GAP INC,GPS,US3647601083,SAN FRANCISCO,4085000,,4.84,Ordinary Shares,13.67
BALL CORP,BLL,US0584981064,BROOMFIELD,2946000,,1.17,Ordinary Shares,51.87
KELLANOVA,K,US4878361082,BATTLE CREEK,3360000,,2.63,Ordinary Shares,52.2
"W.W. GRAINGER, INC.",GWW,US3848021040,LAKE FOREST,2831000,,2.88,Ordinary Shares,795.05
BAXTER INTERNATIONAL INC,BAX,US0718131099,DEERFIELD,2761000,,2.21,Ordinary Shares,35.45
JACOBS SOLUTIONS INC.,J,US46982L1089,DALLAS,2933623,,1.17,Ordinary Shares,133.1
LABORATORY CORPORATION OF AMERC HOLDINGS,LH,US50540R4092,BURLINGTON,2831300,,3,Ordinary Shares,210.73
AMCOR PLC,AMCR,JE00BJ1F3079,ST HELIER,,,,Ordinary Shares,9.28
"FIDELITY NATIONAL INFORMATION SERVICES, INC.",FIS,US31620M1062,JACKSONVILLE,2106000,,1.16,Ordinary Shares,53.9
SEMPRA,SRE,US8168511090,SAN DIEGO,2556000,,0.57,Ordinary Shares,72.19
DXC TECHNOLOGY COMPANY,DXC,US23355L1061,TYSONS,5013000,,1.15,Ordinary Shares,22.49
IQVIA HOLDINGS INC.,IQV,US46266C1053,DURHAM,2594000,,0.23,Ordinary Shares,204.79
"LEIDOS HOLDINGS, INC.",LDOS,US5253271028,RESTON,2575000,,1.91,Ordinary Shares,104.67
OMNICOM GROUP INC,OMC,US6819191064,NEW YORK,3714300,,1.98,Ordinary Shares,76.97
CORNING INC,GLW,US2193501051,CORNING,3008000,,2.87,Ordinary Shares,28.38
ECOLAB INC,ECL,US2788651006,SAINT PAUL,3747200,,2.41,Ordinary Shares,185.13
LINCOLN NATIONAL CORP,LNC,US5341871094,FORT WAYNE,,,,Ordinary Shares,23.3
EVEREST RE GROUP LTD,RE,BMG3223R1088,HAMILTON,,,,Ordinary Shares,399.31
ENTERGY CORP,ETR,US29364G1031,NEW ORLEANS,3104319,,0.53,Ordinary Shares,98.85
OTIS WORLDWIDE CORP,OTIS,US68902V1070,FARMINGTON,,,,Ordinary Shares,83.92
REPUBLIC SERVICES INC,RSG,US7607591002,PHOENIX,2565700,,1.59,Ordinary Shares,158.88
"AMERIPRISE FINANCIAL, INC.",AMP,US03076C1062,MINNEAPOLIS,2689000,,0.34,Ordinary Shares,344.2
UNIVERSAL HEALTH SERVICES INC,UHS,US9139031002,KING OF PRUSSIA,2648913,,2.03,Ordinary Shares   Class B,134.45
DISCOVER FINANCIAL SERVICES,DFS,US2547091080,RIVERWOODS,2607588,16530,0.85,Ordinary Shares,84.2
MGM RESORTS INTERNATIONAL,MGM,US5529531015,LAS VEGAS,2858695,,0.57,Ordinary Shares,40.21
"DUPONT DE NEMOURS, INC.",DD,US26614N1028,WILMINGTON,5683000,,0.09,Ordinary Shares,70.59
TEXTRON INC,TXT,US8832031012,PROVIDENCE,3200000,,4.28,Ordinary Shares,76.79
NORFOLK SOUTHERN CORP,NSC,US6558441084,NORFOLK,2947000,,2.5,Ordinary Shares,208.34
AIR PRODUCTS & CHEMICALS INC,APD,US0091581068,ALLENTOWN,2259000,,2.87,Ordinary Shares,273.6
BOSTON SCIENTIFIC CORP,BSX,US1011371077,MARLBOROUGH,2393000,,2.24,Ordinary Shares,54.67
AMPHENOL CORP,APH,US0320951017,WALLINGFORD,2129000,,4.31,Ordinary Shares   Class A,89.55
AES CORPORATION (THE),AES,US00130H1059,ARLINGTON,2537000,,1.05,Ordinary Shares,16.91
AON PUBLIC LIMITED COMPANY,AON,IE00BLP1HW54,DUBLIN 1,2381000,,0.98,Ordinary Shares   Class A,333.66
FIRSTENERGY CORP.,FE,US3379321074,AKRON,3064000,,1.32,Ordinary Shares,37.04
HORMEL FOODS CORP,HRL,US4404521001,AUSTIN,2359142,20400,3.26,Ordinary Shares,32.66
INTERNATIONAL FLAVORS & FRAGRANCES INC,IFF,US4595061015,NEW YORK,920016,,2.61,Ordinary Shares,74.64
"CONAGRA BRANDS, INC.",CAG,US2058871029,CHICAGO,1834400,,2.09,Ordinary Shares,28.08
STATE STREET CORPORATION,STT,US8574771031,BOSTON,3026712,38113,0.35,Ordinary Shares,69.29
EVERSOURCE ENERGY,ES,US30040W1080,SPRINGFIELD,1865156,,0.85,Ordinary Shares,57.48
CARNIVAL CORPORATION,CCL,PA1436583006,,3791000,,0.91,Ordinary Shares (Paired Stock),14.81
NEWMONT CORPORATION,NEM,US6516391066,GREENWOOD VILLAGE,1726000,,-0.62,Ordinary Shares,36.56
W. R. BERKLEY CORP,WRB,US0844231029,GREENWICH,,,,Ordinary Shares,69.77
MOHAWK INDUSTRIES INC,MHK,US6081901042,CALHOUN,2545800,,2.13,Ordinary Shares,85.49
SYNCHRONY FINANCIAL,SYF,US87165B1035,STAMFORD,3147204,26898,0.9,Ordinary Shares,28.91
"UNITED RENTALS, INC.",URI,US9113631090,STAMFORD,2116000,,2.81,Ordinary Shares,474.36
V. F. CORPORATION,VFC,US9182041080,GREENWOOD VILLAGE,3219390,,4.37,Ordinary Shares,17.19
DAVITA INC.,DVA,US23918K1088,DENVER,2886953,,1.65,Ordinary Shares,94.73
HESS CORPORATION,HES,US42809H1077,NEW YORK,1793000,,0.58,Ordinary Shares,141.46
"CF INDUSTRIES HOLDINGS, INC.",CF,US1252691001,DEERFIELD,1040000,,0.63,Ordinary Shares,80.11
S&P GLOBAL INC.,SPGI,US78409V1044,NEW YORK,1546000,,7.16,Ordinary Shares,403.98
"ADVANCE AUTO PARTS, INC.",AAP,US00751Y1064,RALEIGH,2326652,,1.78,Ordinary Shares,53.42
WILLIAMS COMPANIES INC,WMB,US9694571004,TULSA,2303000,,0.83,Ordinary Shares,34.75
INTERPUBLIC GROUP OF COMPANIES INC,IPG,US4606901001,NEW YORK,2297500,,1.66,Ordinary Shares,29.83
RAYMOND JAMES FINANCIAL INC,RJF,US7547301090,SAINT PETERSBURG,1844722,11649,0.87,Ordinary Shares,103.21
AMERICAN TOWER CORPORATION,AMT,US03027X1000,BOSTON,1785500,,1.18,Ordinary Shares,199.11
MOLSON COORS BEVERAGE COMPANY,TAP,US60871R2094,DENVER,2934200,,1.35,Ordinary Shares   Class B,58.99
"HUNTINGTON INGALLS INDUSTRIES, INC.",HII,US4464131063,NEWPORT NEWS,2083000,,4.76,Ordinary Shares,234.57
NVR INC,NVR,US62944T1051,RESTON,1859268,,8.08,Ordinary Shares,"6,290.59"
EASTMAN CHEMICAL CO,EMN,US2774321002,KINGSPORT,2547000,,2.81,Ordinary Shares,81.8
DARDEN RESTAURANTS INC,DRI,US2371941053,ORLANDO,2061400,,3.2,Ordinary Shares,155.68
HERSHEY COMPANY (THE),HSY,US4278661081,HERSHEY,2079593,,4.55,Ordinary Shares,195.84
WEYERHAEUSER CO,WY,US9621661043,SEATTLE,1910000,,1.38,Ordinary Shares,31.74
QUEST DIAGNOSTICS INCORPORATED,DGX,US74834L1008,SECAUCUS,1889000,,2.42,Ordinary Shares,134.93
PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,PEG,US7445731067,NEWARK,2394000,,1.17,Ordinary Shares,63.46
CELANESE CORPORATION,CE,US1508701034,IRVING,1844000,,4.52,Ordinary Shares   Series A,127.87
"ALASKA AIR GROUP, INC.",ALK,US0116591092,SEATTLE,2212000,,2.61,Ordinary Shares,36.2
"INTERCONTINENTAL EXCHANGE, INC.",ICE,US45866F1049,ATLANTA,1463000,,0.64,Ordinary Shares,112.27
"WEC ENERGY GROUP, INC.",WEC,US92939U1060,MILWAUKEE,1643700,,0.77,Ordinary Shares,82.37
"CONSTELLATION BRANDS, INC.",STZ,US21036P1084,VICTOR,4346200,,9.41,Ordinary Shares   Class A,236.59
CAMPBELL SOUP CO,CPB,US1344291091,CAMDEN,872000,,0.23,Ordinary Shares,41.13
"CENTERPOINT ENERGY, INC.",CNP,US15189T1079,HOUSTON,2212000,,0.94,Ordinary Shares,27.66
"MOTOROLA SOLUTIONS, INC.",MSI,US6200763075,CHICAGO,1760000,,2.56,Ordinary Shares,317.26
AVERY DENNISON CORPORATION,AVY,US0536111091,MENTOR,1759700,,3.24,Ordinary Shares,189.17
PVH CORPORATION,PVH,US6936561009,NEW YORK,2333700,,1.73,Ordinary Shares,82.86
GLOBAL PAYMENTS INC,GPN,US37940X1028,ATLANTA,857670,,1.3,Ordinary Shares,111.81
ROYAL CARIBBEAN CRUISES LIMITED,RCL,LR0008862868,MONROVIA,2008560,,0.98,Ordinary Shares,103.69
HILTON WORLDWIDE HOLDINGS INC.,HLT,US43300A2033,MCLEAN,2253000,,2.07,Ordinary Shares,167.17
MASCO CORP,MAS,US5745991068,LIVONIA,1904000,,4.42,Ordinary Shares,59.37
CHIPOTLE MEXICAN GRILL INC.,CMG,US1696561059,NEWPORT BEACH,1225007,,2.71,Ordinary Shares,"2,173.10"
CMS ENERGY CORP,CMS,US1258961002,JACKSON,1599000,,0.84,Ordinary Shares,57.5
ARTHUR J. GALLAGHER & CO.,AJG,US3635761097,ITASCA,1778500,,0.56,Ordinary Shares,245.51
J. M. SMUCKER COMPANY (THE),SJM,US8326964058,ORRVILLE,1902500,,0.99,Ordinary Shares,111.27
DOVER CORPORATION,DOV,US2600031080,DOWNERS GROVE,1747403,,2.28,Ordinary Shares,137.54
PACKAGING CORP OF AMERICA,PKG,US6951561090,LAKE FOREST,1809900,,4.22,Ordinary Shares,155.49
WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,WAB,US9297401088,PITTSBURGH,1077814,,1.2,Ordinary Shares,114.75
"FRANKLIN RESOURCES, INC.",BEN,US3546131018,SAN MATEO,1559700,9100,3.82,Ordinary Shares,24.55
M&T BANK CORPORATION,MTB,US55261F1049,BUFFALO,1422355,16531,0.39,Ordinary Shares,123.47
ZOETIS INC.,ZTS,US98978V1035,FLORHAM PARK,1480000,,4,Ordinary Shares   Class A,176.54
MARATHON OIL CORPORATION,MRO,US5658491064,HOUSTON,1651000,,1.64,Ordinary Shares,24.75
CITIZENS FINANCIAL GROUP INC.,CFG,US1746101054,PROVIDENCE,1510762,17699,0.35,Ordinary Shares,27.08
AMEREN CORP,AEE,US0236081024,ST. LOUIS,1563000,,1.18,Ordinary Shares,76.78
PPL CORP,PPL,US69351T1060,ALLENTOWN,1872000,,1.27,Ordinary Shares,26.02
"ROCKWELL AUTOMATION, INC.",ROK,US7739031091,MILWAUKEE,1698700,,4.31,Ordinary Shares,272.78
"BATH & BODY WORKS, INC.",BBWI,US0708301041,COLUMBUS,2984000,,1.69,Ordinary Shares,30.1
CLOROX CO,CLX,US1890541097,OAKLAND,1563000,8700,5.3,Ordinary Shares,139.05
ALBEMARLE CORP,ALB,US0126531013,CHARLOTTE,777748,,2.06,Ordinary Shares,122.6
VULCAN MATERIALS COMPANY,VMC,US9291601097,BIRMINGHAM,1240197,,2.23,Ordinary Shares,212.27
KEYCORP,KEY,US4932671088,CLEVELAND,1635393,19164,0.42,Ordinary Shares,12.08
"SERVICENOW, INC.",NOW,US81762P1021,SANTA CLARA,673097,7661,0.2,Ordinary Shares,652.28
ROBERT HALF INC,RHI,US7703231032,MENLO PARK,1466226,,7.46,Ordinary Shares,79.78
REGIONS FINANCIAL CORPORATION,RF,US7591EP1005,BIRMINGHAM,1461678,20969,0.37,Ordinary Shares,16.08
CROWN CASTLE INC,CCI,US22822V1017,HOUSTON,1375000,,0.52,Ordinary Shares,104.12
"ZIMMER BIOMET HOLDINGS, INC.",ZBH,US98956P1021,WARSAW,2007600,,0.85,Ordinary Shares,111.55
